,listing_type,listing_title,bed_type,availability,price,rating,number_of_ratings
121,Apartment in Nairobi,"Skyline Views from 12th floor, rooftop pool & gym",1 king bed,Apr 15 – 22,$54,4.79,57
122,Apartment in Nairobi,"Affordable studio apartments in Kilimani, Enclave",1 queen bed,Sep 19 – 26,$48,4.42,168
123,Apartment in Nairobi,M's Haven! near Westlands,1 bed,Mar 6 – 13,$26,New,0
124,Private room in Nairobi,The Marian Residence - Westlands,1 queen bed,Jul 10 – 17,$15,4.82,33
125,Apartment in Nairobi,"iMagine White Collection, 1 Bedroom Kilimani",1 bed,Dec 20 – 27,$70,4.36,11
126,Apartment in KE,Prime Serviced Residence ( 1 bed room),1 double bed,Sep 17 – 24,$60,5.0,9
127,Condo in Nairobi,One Bed with Heated Pool & Great View,1 bed,May 31 – Jun 7,$33,5.0,3
128,Apartment in Nairobi,Lovely 1-bed Condo,1 queen bed,Jul 19 – 26,$14,4.69,16
129,Treehouse in Nairobi,Nairobi Dawn Chorus,1 king bed,Jan 27 – Feb 3,$140,4.96,162
130,Private room in Nairobi,Welcome home in Kenya,1 bed,Nov 16 – 23,$22,5.0,3
131,Condo in Nairobi,Executive studio with free parking in Kilimani,1 bed,Feb 19 – 26,$20,4.81,16
132,Apartment in Nairobi,"Hidden Gem
Cozy 1 bedroom in the heart of Kilimani",1 bed,Jan 22 – 29,$53,4.92,13
133,Apartment in Nairobi,Sunny Spacious Studio,1 queen bed,Mar 16 – 23,$27,4.85,59
134,Private room in Nairobi,Lovely one ensuite-bedroom casa with stunning view,1 queen bed,Sep 15 – 22,$24,5.0,3
135,Apartment in Nairobi,Sunset views on 9th floor w/ King Bed in Lavington,1 king bed,Jan 11 – 18,$56,4.84,122
136,Apartment in Nairobi,Chic 1BR in Westlands- 5 mins from local spots,1 double bed,Jul 18 – 25,$41,4.51,49
137,Apartment in Nairobi,New 5★ Cosy ∣ Clean & Convenient 1BR Westlands Apt,1 bed,Dec 9 – 16,$43,4.86,36
138,Condo in Nairobi,Spacious Modern Apt 15mins  to CBD • 20mins to UN,1 queen bed,Jul 27 – Aug 3,$31,4.85,27
139,Apartment in Nairobi,Superb 1 Bedroom apartment next to CBD! Amazing!!,1 queen bed,Aug 14 – 21,$43,4.94,113
140,Apartment in Nairobi,Nairobi's Zen Den by Shaaz,2 beds,Dec 13 – 20,$45,4.87,15
141,Treehouse in Nairobi,Nairobi Dawn Chorus,1 king bed,Mar 9 – 16,$141,4.96,162
142,Condo in Nairobi,Stunning 1-Bedroom Apartment on Riverside Drive.,1 bed,Jul 27 – Aug 3,$42,New,0
143,Condo in Nairobi,One Bed with Heated Pool & Great View,1 bed,Jan 8 – 15,$33,5.0,3
144,Apartment in Nairobi,Chic 1BR in Westlands- 5 mins from local spots,1 double bed,Sep 7 – 14,$41,4.51,49
145,Cottage in Nairobi,"The A-Frame | Windy Ridge, Karen",1 bed,Oct 29 – Nov 5,$163,4.96,117
146,Condo in Nairobi,Lavish Studio Apartment w/free Wifi and Netflix.,1 queen bed,Aug 21 – 28,$13,4.65,17
147,Bus in Nairobi,"★The Brandy Bus, Glamping In a Quiet Paradise",4 beds,Feb 18 – 25,$103,4.91,466
148,Apartment in KE,Prime Serviced Residence ( 1 bed room),1 double bed,Aug 1 – 8,$54,5.0,9
149,Private room in Nairobi,The Marian Residence - Westlands,1 queen bed,Jul 9 – 16,$15,4.82,33
150,Apartment in Nairobi,M's Haven! near Westlands,1 bed,Jun 3 – 10,$26,New,0
151,Apartment in Nairobi,Unwind in a Modern 1BR w/ King Bed in Kileleshwa,1 king bed,Dec 9 – 16,$56,4.74,19
152,Apartment in Nairobi,"Penthouse near Yaya Centre Kilimani,
1 bedroom.",1 bed,Jan 2 – 9,$40,New,0
