,listing_type,listing_title,Host Level,bed_type,availability,price,rating,number_of_ratings,Link
281,Condo in Mombasa,"Stylish 2-Bedroom apt. All Ensuite with pool, Lift",Superhost,2 beds,Nov 10 – 17,$68,New,0,www.airbnb.com/rooms/613404406511746670?adults=1&children=0&infants=0&check_in=2022-11-10&check_out=2022-11-17&previous_page_section_name=1000
282,Private room in Mombasa,SeaOne Nyali Mombasa Studio Private room w/ pool,Superhost,1 queen bed,Dec 11 – 18,$24,New,0,www.airbnb.com/rooms/54244452?adults=1&children=0&infants=0&check_in=2022-12-11&check_out=2022-12-18&previous_page_section_name=1000
283,Apartment in Mombasa,"Sweet Haven, 1BR, Clean, Stylish, Wifi, Netflix",Superhost,1 double bed,Sep 27 – Oct 4,$28,New,0,www.airbnb.com/rooms/47155450?adults=1&children=0&infants=0&check_in=2022-09-27&check_out=2022-10-04&previous_page_section_name=1000
284,Condo in Mombasa,"Sunshine Studio, Clean, pool, Wifi, lift, Netflix",Superhost,1 bed,Aug 2 – 9,$39,New,0,www.airbnb.com/rooms/45878393?adults=1&children=0&infants=0&check_in=2022-08-02&check_out=2022-08-09&previous_page_section_name=1000
285,Apartment in Mtwapa,"Modern, Cozy Studio Wi-Fi|Netflix◇with Hot shower",Superhost,1 queen bed,Mar 2 – 9,$21,New,0,www.airbnb.com/rooms/46421735?adults=1&children=0&infants=0&check_in=2023-03-02&check_out=2023-03-09&previous_page_section_name=1000
286,Condo in Mombasa ,"Clean, Co️mfy, Designer Studio, WiFi Netflix 50”TV",Superhost,1 queen bed,Oct 10 – 17,$36,New,0,www.airbnb.com/rooms/41245448?adults=1&children=0&infants=0&check_in=2022-10-10&check_out=2022-10-17&previous_page_section_name=1000
287,Condo in Mombasa,"Coral Studio, Clean, pool, WiFi, lift and Netflix",Superhost,1 bed,Dec 26 – Jan 2,$50,New,0,www.airbnb.com/rooms/583648592504940285?adults=1&children=0&infants=0&check_in=2022-12-26&check_out=2023-01-02&previous_page_section_name=1000
288,Apartment in Mombasa,Executive Bamburi Seafront designer studio,Starter / Mid,3 beds,Feb 16 – 23,$43,New,0,www.airbnb.com/rooms/14531460?adults=1&children=0&infants=0&check_in=2023-02-16&check_out=2023-02-23&previous_page_section_name=1000
289,Apartment in Mombasa,Stylish studio in Bamburi,Superhost,1 bed,Aug 18 – 25,$18,New,0,www.airbnb.com/rooms/51220039?adults=1&children=0&infants=0&check_in=2022-08-18&check_out=2022-08-25&previous_page_section_name=1000
290,Apartment in Mombasa,Shirley’s Deluxe Apart. with Pool & Beach Access,Superhost,1 bed,Aug 2 – 9,$32,New,0,www.airbnb.com/rooms/50948447?adults=1&children=0&infants=0&check_in=2022-08-02&check_out=2022-08-09&previous_page_section_name=1000
291,Private room in Mombasa,"Romantic 4 poster bed, sea view, own living room",Superhost,2 beds,Aug 2 – 9,$27,New,0,www.airbnb.com/rooms/11593645?adults=1&children=0&infants=0&check_in=2022-08-02&check_out=2022-08-09&previous_page_section_name=1000
292,Private room in Mombasa,Executive Room w/ Sea View  ★ En-suite,Superhost,1 double bed,Feb 28 – Mar 7,$21,New,0,www.airbnb.com/rooms/41949012?adults=1&children=0&infants=0&check_in=2023-02-28&check_out=2023-03-07&previous_page_section_name=1000
293,Cottage in Tiwi,Luxury Honeymoon Cottage/Tent Tiwi Beach Kenya....,Superhost,2 beds,Nov 27 – Dec 4,$164,New,0,www.airbnb.com/rooms/10556825?adults=1&children=0&infants=0&check_in=2022-11-27&check_out=2022-12-04&previous_page_section_name=1000
294,Apartment in Mombasa,"STYLISH, CLEAN  1BR, WIFI,NETFLIX, HOT WATER NYALI",Starter / Mid,1 king bed,Jul 13 – 20,$32,New,0,www.airbnb.com/rooms/49939712?adults=1&children=0&infants=0&check_in=2022-07-13&check_out=2022-07-20&previous_page_section_name=1000
295,Condo in Mombasa,2 bedroom apartment Nyali turquoise with wifi,Starter / Mid,3 beds,Jul 16 – 23,$67,New,0,www.airbnb.com/rooms/38184787?adults=1&children=0&infants=0&check_in=2022-07-16&check_out=2022-07-23&previous_page_section_name=1000
296,Vacation home in Mombasa,Lovely Studio Apartment with a Pool,Starter / Mid,1 double bed,Dec 13 – 20,$16,New,0,www.airbnb.com/rooms/53866957?adults=1&children=0&infants=0&check_in=2022-12-13&check_out=2022-12-20&previous_page_section_name=1000
297,Apartment in Mombasa,"SERENE 1 BR, LIFT, WIFI, NETFLIX, HOT WATER, NYALI",Starter / Mid,1 queen bed,Sep 27 – Oct 4,$31,New,0,www.airbnb.com/rooms/48006262?adults=1&children=0&infants=0&check_in=2022-09-27&check_out=2022-10-04&previous_page_section_name=1000
298,Apartment in Mombasa,Stylish One bedroom Apartment,Starter / Mid,1 bed,Jan 28 – Feb 4,$33,New,0,www.airbnb.com/rooms/52791569?adults=1&children=0&infants=0&check_in=2023-01-28&check_out=2023-02-04&previous_page_section_name=1000
299,Private room in Mombasa,Ella Cozy studio Across the beach,Starter / Mid,1 double bed,Mar 23 – 30,$23,New,0,www.airbnb.com/rooms/42617550?adults=1&children=0&infants=0&check_in=2023-03-23&check_out=2023-03-30&previous_page_section_name=1000
300,Private room in Mombasa,"Luxurious low bed, private ensuite, seaview!",Superhost,2 beds,Dec 10 – 17,$32,New,0,www.airbnb.com/rooms/18145464?adults=1&children=0&infants=0&check_in=2022-12-10&check_out=2022-12-17&previous_page_section_name=1000
